Date,AdjClose,Close,High,Low,Open,Volume
2016-01-04,16.81399917602539,16.81399917602539,17.134000778198242,16.634000778198242,16.996000289916992,6367500.0
2016-01-05,16.799999237060547,16.799999237060547,17.110000610351562,16.694000244140625,16.902000427246094,6643500.0
2016-01-06,16.284000396728516,16.284000396728516,16.61400032043457,16.139999389648438,16.576000213623047,7091000.0
2016-01-07,15.928000450134276,15.928000450134276,16.329999923706055,15.78600025177002,15.935999870300291,7765500.0
2016-01-08,15.62399959564209,15.62399959564209,16.1299991607666,15.57800006866455,16.02199935913086,6099500.0
2016-01-11,15.706000328063965,15.706000328063965,15.812000274658203,15.4399995803833,15.744000434875488,5568000.0
2016-01-12,16.197999954223633,16.197999954223633,16.29800033569336,15.946000099182127,15.946000099182127,8326000.0
2016-01-13,15.357999801635742,15.357999801635742,16.357999801635742,15.097999572753906,16.218000411987305,9447500.0
2016-01-14,15.642000198364258,15.642000198364258,15.699999809265137,14.781999588012695,15.446000099182127,7557000.0
2016-01-15,15.267999649047852,15.267999649047852,15.45199966430664,14.944000244140623,15.223999977111816,8869000.0
2016-01-19,14.86400032043457,14.86400032043457,15.55799961090088,14.734000205993652,15.432000160217283,9965500.0
2016-01-20,14.862000465393066,14.862000465393066,15.064000129699709,14.027999877929688,14.649999618530272,10556500.0
2016-01-21,14.881999969482422,14.881999969482422,15.222000122070312,14.723999977111816,14.947999954223633,9609000.0
2016-01-22,15.333999633789062,15.333999633789062,15.35200023651123,15.116000175476074,15.116000175476074,6355000.0
2016-01-25,15.220000267028809,15.220000267028809,15.432000160217283,15.01200008392334,15.288000106811523,9203500.0
2016-01-26,15.592000007629396,15.592000007629396,15.637999534606934,15.053999900817873,15.223999977111816,12484000.0
2016-01-27,15.074000358581545,15.074000358581545,15.520000457763672,14.906000137329102,15.423999786376951,21361000.0
2016-01-28,12.71399974822998,12.71399974822998,12.87600040435791,11.534000396728516,11.564000129699709,98876000.0
2016-01-29,12.44200038909912,12.44200038909912,13.10200023651123,12.142000198364258,12.79800033569336,36455000.0
2016-02-01,12.392000198364258,12.392000198364258,12.565999984741213,12.288000106811523,12.31999969482422,13336500.0
2016-02-02,11.449999809265137,11.449999809265137,12.32800006866455,11.366000175476074,12.29599952697754,23965500.0
2016-02-03,11.859999656677246,11.859999656677246,11.887999534606934,11.333999633789062,11.513999938964844,18258500.0
2016-02-04,11.723999977111816,11.723999977111816,12.050000190734863,11.678000450134276,11.770000457763672,18237000.0
2016-02-05,10.461999893188477,10.461999893188477,11.093999862670898,9.892000198364258,10.824000358581545,36286500.0
2016-02-08,9.428000450134276,9.428000450134276,10.223999977111816,9.199999809265137,10.184000015258787,32734000.0
2016-02-09,9.70400047302246,9.70400047302246,9.866000175476074,9.223999977111816,9.31999969482422,28093500.0
2016-02-10,9.998000144958496,9.998000144958496,10.359999656677246,9.734000205993652,9.734000205993652,15468000.0
2016-02-11,9.805999755859377,9.805999755859377,9.928000450134276,9.461999893188477,9.855999946594238,14564000.0
2016-02-12,10.015999794006348,10.015999794006348,10.05799961090088,9.621999740600586,9.895999908447266,10496500.0
2016-02-16,10.407999992370604,10.407999992370604,10.45199966430664,9.989999771118164,10.118000030517578,13594500.0
2016-02-17,11.052000045776367,11.052000045776367,11.109999656677246,10.461999893188477,10.5,26546000.0
2016-02-18,10.85200023651123,10.85200023651123,11.16800022125244,10.843999862670898,11.105999946594238,16538500.0
2016-02-19,10.947999954223633,10.947999954223633,11.12399959564209,10.812000274658203,10.843999862670898,14200500.0
2016-02-22,10.937999725341797,10.937999725341797,11.270000457763672,10.850000381469728,11.020000457763672,12305500.0
2016-02-23,10.60200023651123,10.60200023651123,10.878000259399414,10.289999961853027,10.847999572753906,14362500.0
2016-02-24,10.510000228881836,10.510000228881836,10.550000190734863,10.0,10.404000282287598,13448500.0
2016-02-25,10.83199977874756,10.83199977874756,11.0,10.553999900817873,10.621999740600586,13517500.0
2016-02-26,11.10200023651123,11.10200023651123,11.239999771118164,10.854000091552734,10.916000366210938,12932000.0
2016-02-29,10.998000144958496,10.998000144958496,11.246000289916992,10.98799991607666,11.050000190734863,9836500.0
2016-03-01,11.56999969482422,11.56999969482422,11.56999969482422,11.071999549865724,11.16800022125244,18261500.0
2016-03-02,11.531999588012695,11.531999588012695,11.621999740600586,11.324000358581545,11.5,10318500.0
2016-03-03,11.67199993133545,11.67199993133545,11.68000030517578,11.347999572753906,11.472000122070312,11540000.0
2016-03-04,11.699999809265137,11.699999809265137,11.911999702453612,11.62600040435791,11.77400016784668,9530500.0
2016-03-07,11.644000053405762,11.644000053405762,11.760000228881836,11.315999984741213,11.597999572753906,6968500.0
2016-03-08,12.067999839782717,12.067999839782717,12.211999893188477,11.630000114440918,11.682000160217283,15700500.0
2016-03-09,12.097999572753906,12.097999572753906,12.116000175476074,11.850000381469728,12.107999801635742,11128000.0
2016-03-10,12.144000053405762,12.144000053405762,12.46399974822998,11.95199966430664,12.279999732971191,11478500.0
2016-03-11,12.670000076293944,12.670000076293944,12.736000061035156,12.187999725341797,12.220000267028809,10607000.0
2016-03-14,12.470000267028809,12.470000267028809,12.621999740600586,12.371999740600586,12.567999839782717,8977500.0
2016-03-15,12.329999923706056,12.329999923706056,12.413999557495115,12.149999618530272,12.378000259399414,7616500.0
2016-03-16,12.473999977111816,12.473999977111816,12.527999877929688,12.194000244140623,12.270000457763672,5965500.0
2016-03-17,12.15999984741211,12.15999984741211,12.552000045776367,12.029999732971191,12.465999603271484,12340500.0
2016-03-18,12.029999732971191,12.029999732971191,12.267999649047852,11.98799991607666,12.210000038146973,13679500.0
2016-03-21,12.210000038146973,12.210000038146973,12.263999938964844,11.982000350952148,12.050000190734863,6889000.0
2016-03-22,12.46399974822998,12.46399974822998,12.564000129699709,12.050000190734863,12.083999633789062,8115000.0
2016-03-23,12.449999809265137,12.449999809265137,12.62399959564209,12.399999618530272,12.4399995803833,10179000.0
2016-03-24,12.338000297546388,12.338000297546388,12.343999862670898,12.166000366210938,12.305999755859377,5261000.0
2016-03-28,12.067999839782717,12.067999839782717,12.333999633789062,11.95400047302246,12.32800006866455,8083500.0
2016-03-29,12.227999687194824,12.227999687194824,12.27400016784668,11.986000061035156,12.04800033569336,7785000.0
2016-03-30,12.21399974822998,12.21399974822998,12.486000061035156,12.20400047302246,12.300000190734863,8307000.0
2016-03-31,12.236000061035156,12.236000061035156,12.281999588012695,11.986000061035156,12.18000030517578,11941500.0
2016-04-01,12.406000137329102,12.406000137329102,12.449999809265137,12.010000228881836,12.22599983215332,7682500.0
2016-04-04,12.855999946594238,12.855999946594238,12.87399959564209,12.392000198364258,12.413999557495115,11360500.0
2016-04-05,12.729999542236328,12.729999542236328,12.881999969482422,12.621999740600586,12.694000244140623,8354000.0
2016-04-06,12.767999649047852,12.767999649047852,12.821999549865724,12.58199977874756,12.748000144958496,8878500.0
2016-04-07,12.803999900817873,12.803999900817873,12.96399974822998,12.663999557495115,12.718000411987305,6509000.0
2016-04-08,12.899999618530272,12.899999618530272,13.005999565124512,12.758000373840332,12.871999740600586,6180500.0
2016-04-11,12.661999702453612,12.661999702453612,13.065999984741213,12.63599967956543,12.973999977111816,6741000.0
2016-04-12,12.350000381469728,12.350000381469728,12.663999557495115,12.3100004196167,12.597999572753906,12306500.0
2016-04-13,12.753999710083008,12.753999710083008,12.78600025177002,12.28600025177002,12.494000434875488,8877000.0
2016-04-14,12.600000381469728,12.600000381469728,12.699999809265137,12.380000114440918,12.616000175476074,17218000.0
2016-04-15,12.656000137329102,12.656000137329102,12.684000015258787,12.491999626159668,12.63599967956543,5943000.0
2016-04-18,12.894000053405762,12.894000053405762,12.979999542236328,12.604000091552734,12.640000343322754,11296000.0
2016-04-19,12.734000205993652,12.734000205993652,12.947999954223633,12.510000228881836,12.894000053405762,10458500.0
2016-04-20,13.022000312805176,13.022000312805176,13.100000381469728,12.776000022888184,12.836000442504885,14012500.0
2016-04-21,14.854000091552734,14.854000091552734,15.368000030517578,14.642000198364258,14.95400047302246,41977500.0
2016-04-22,14.621999740600586,14.621999740600586,14.75,14.359999656677246,14.687999725341797,16268000.0
2016-04-25,14.682000160217283,14.682000160217283,14.913999557495115,14.600000381469728,14.670000076293944,12625500.0
2016-04-26,14.531999588012695,14.531999588012695,14.697999954223633,14.413999557495115,14.684000015258787,7046500.0
2016-04-27,14.630000114440918,14.630000114440918,14.76200008392334,14.449999809265137,14.449999809265137,7613500.0
