Date,"('QQQ', 'AdjClose')","('QQQ', 'AdjClose').1","('QQQ', 'AdjClose').2","('QQQ', 'Close')","('QQQ', 'Close').1","('QQQ', 'Close').2","('QQQ', 'High')","('QQQ', 'High').1","('QQQ', 'High').2","('QQQ', 'Low')","('QQQ', 'Low').1","('QQQ', 'Low').2","('QQQ', 'Open')","('QQQ', 'Open').1","('QQQ', 'Open').2","('QQQ', 'Volume')","('QQQ', 'Volume').1","('QQQ', 'Volume').2",AdjClose,Close,High,Low,Open,Volume
2016-01-04,,,,,,,,,,,,,,,,,,,101.84553527832033,109.5,109.5999984741211,108.12000274658205,109.4499969482422,50807600.0
2016-01-05,,,,,,,,,,,,,,,,,,,101.6688232421875,109.30999755859376,110.18000030517578,108.8000030517578,110.04000091552734,38795200.0
2016-01-06,,,,,,,,,,,,,,,,,,,100.69222259521484,108.26000213623048,108.88999938964844,107.41000366210938,107.41000366210938,41891100.0
2016-01-07,,,,,,,,,,,,,,,,,,,97.53923797607422,104.87000274658205,107.29000091552734,104.80999755859376,105.9499969482422,61386300.0
2016-01-08,,,,,,,,,,,,,,,,,,,96.73934936523438,104.01000213623048,106.29000091552734,103.9000015258789,105.62999725341795,69344000.0
2016-01-11,,,,,,,,,,,,,,,,,,,97.0369644165039,104.33000183105467,105.05999755859376,102.7300033569336,104.75,50024100.0
2016-01-12,,,,,,,,,,,,,,,,,,,98.1623764038086,105.54000091552734,106.08000183105467,104.08000183105467,105.33000183105467,46734200.0
2016-01-13,,,,,,,,,,,,,,,,,,,94.77679443359376,101.9000015258789,106.2300033569336,101.73999786376952,105.97000122070312,69870700.0
2016-01-14,,,,,,,,,,,,,,,,,,,96.79511260986328,104.06999969482422,104.9800033569336,100.66999816894533,102.3000030517578,78445700.0
2016-01-15,,,,,,,,,,,,,,,,,,,93.79090881347656,100.83999633789062,101.94000244140624,99.51000213623048,100.62000274658205,91443900.0
2016-01-19,,,,,,,,,,,,,,,,,,,93.99553680419922,101.05999755859376,102.37000274658205,99.87999725341795,102.20999908447266,56563800.0
2016-01-20,,,,,,,,,,,,,,,,,,,93.70719909667967,100.75,101.83000183105467,97.25,99.47000122070312,86675000.0
2016-01-21,,,,,,,,,,,,,,,,,,,93.80022430419922,100.8499984741211,102.3499984741211,99.81999969482422,101.18000030517578,61660100.0
2016-01-22,,,,,,,,,,,,,,,,,,,96.5160903930664,103.7699966430664,103.80999755859376,102.52999877929688,102.87999725341795,42229800.0
2016-01-25,,,,,,,,,,,,,,,,,,,95.08375549316406,102.2300033569336,103.98999786376952,102.13999938964844,103.4000015258789,38881500.0
2016-01-26,,,,,,,,,,,,,,,,,,,95.93943786621094,103.1500015258789,103.58999633789062,101.76000213623048,102.66000366210938,36143900.0
2016-01-27,,,,,,,,,,,,,,,,,,,93.549072265625,100.58000183105467,102.98999786376952,100.1500015258789,102.5500030517578,54524700.0
2016-01-28,,,,,,,,,,,,,,,,,,,94.8698272705078,102.0,102.29000091552734,100.26000213623048,102.25,47641500.0
2016-01-29,,,,,,,,,,,,,,,,,,,96.85094451904295,104.12999725341795,104.16999816894533,101.94000244140624,101.97000122070312,54245100.0
2016-02-01,,,,,,,,,,,,,,,,,,,97.11135864257812,104.41000366210938,104.8000030517578,103.2300033569336,103.62999725341795,32750300.0
2016-02-02,,,,,,,,,,,,,,,,,,,95.00935363769533,102.1500015258789,103.97000122070312,101.83999633789062,103.93000030517578,44928100.0
2016-02-03,,,,,,,,,,,,,,,,,,,94.5535888671875,101.66000366210938,102.83000183105467,99.87999725341795,102.83000183105467,61572900.0
