Date,AdjClose,Close,High,Low,Open,Volume
2016-01-04,10.87664794921875,14.227999687194824,14.234999656677246,13.98799991607666,14.20699977874756,30970000.0
2016-01-05,10.51276969909668,13.751999855041504,14.329999923706056,13.720999717712402,14.314000129699709,38173000.0
2016-01-06,10.18940544128418,13.32900047302246,13.605999946594238,13.227999687194824,13.45699977874756,50824000.0
2016-01-07,9.865277290344238,12.904999732971191,13.376999855041504,12.819000244140623,13.130999565124512,50056000.0
2016-01-08,9.800298690795898,12.81999969482422,13.345999717712402,12.805999755859377,13.003000259399414,64641000.0
2016-01-11,9.78806495666504,12.803999900817873,12.996999740600586,12.541999816894531,12.949999809265137,38941000.0
2016-01-12,9.931784629821776,12.991999626159668,13.166999816894531,12.685999870300291,12.986000061035156,41112000.0
2016-01-13,9.426483154296877,12.331000328063965,12.998000144958496,12.30799961090088,12.774999618530272,48470000.0
2016-01-14,9.570199012756348,12.519000053405762,12.66800022125244,12.029000282287598,12.418999671936035,63942000.0
2016-01-15,9.17115306854248,11.996999740600586,12.378999710083008,11.93000030517578,12.020999908447266,75916000.0
2016-01-19,9.17879867553711,12.006999969482422,12.479999542236328,11.901000022888184,12.276000022888184,54773000.0
2016-01-20,9.46623420715332,12.383000373840332,12.55799961090088,11.717000007629396,11.782999992370604,103988000.0
2016-01-21,9.519740104675291,12.45300006866455,12.600000381469728,12.335000038146973,12.479999542236328,48475000.0
2016-01-22,9.51821517944336,12.451000213623049,12.64799976348877,12.42300033569336,12.64799976348877,58428000.0
2016-01-25,9.51668643951416,12.449000358581545,12.498000144958496,12.399999618530272,12.442999839782717,61359000.0
2016-01-26,9.509040832519531,12.439000129699709,12.651000022888184,12.399999618530272,12.5,119134000.0
2016-01-27,9.353093147277832,12.234999656677246,12.541000366210938,12.008999824523926,12.364999771118164,58156000.0
2016-01-28,9.660404205322266,12.63700008392334,12.654999732971191,12.199999809265137,12.293999671936035,49969000.0
2016-01-29,10.221514701843262,13.371000289916992,13.434000015258787,12.810999870300291,12.944000244140623,259449000.0
