Date,AdjClose,Close,High,Low,Open,Volume,Return,FastSMA,SlowSMA,Volatility,Valid
2016-05-25,117.07221221923828,117.88999938964844,118.66999816894533,117.37999725341795,118.12999725341795,20019800.0,0.001614294361365065,118.22049903869629,109.16969985961914,0.2865413690886474,True
2016-05-26,118.64125061035156,119.47000122070312,119.76000213623048,117.91999816894533,118.23999786376952,18481300.0,0.013402339801805274,118.35749893188476,109.34219985961914,0.14097111516087626,True
2016-05-27,118.55187225341795,119.37999725341795,119.8499984741211,119.01000213623048,119.55999755859376,13493600.0,-0.0007533603947897927,118.44749870300294,109.50869979858399,0.13924684551026983,True
2016-05-31,117.98582458496094,118.80999755859376,120.0999984741211,118.12000274658205,119.45999908447266,23547600.0,-0.0047746666773178514,118.45949859619141,109.66709976196289,0.1375321158271205,True
2016-06-01,117.95604705810548,118.77999877929688,119.08000183105467,117.81999969482422,118.5,15029500.0,-0.000252493728754577,118.52699851989746,109.87569976806641,0.1326567441406992,True
2016-06-02,118.1050033569336,118.93000030517578,119.44000244140624,118.22000122070312,118.69000244140624,13228300.0,0.0012628517210007129,118.57049865722657,110.09169975280761,0.13149857541629073,True
2016-06-03,117.64818572998048,118.47000122070312,118.9800033569336,117.86000061035156,118.9800033569336,14135100.0,-0.003867813699590439,118.60349884033204,110.30129974365235,0.13208839521698099,True
2016-06-06,117.96597290039062,118.79000091552734,119.43000030517578,118.36000061035156,118.62000274658205,12744700.0,0.0027011031613655145,118.56849899291993,110.4954997253418,0.12187739675702096,True
2016-06-07,116.94312286376952,117.76000213623048,119.3000030517578,117.66999816894533,119.23999786376952,17103000.0,-0.00867075318931354,118.49449920654297,110.71869972229004,0.12537190137462648,True
2016-06-08,117.5687484741211,118.38999938964844,118.5999984741211,117.2699966430664,117.76000213623048,14505600.0,0.0053498407098289125,118.3889991760254,110.9188996887207,0.12048401259906372,True
2016-06-09,117.73756408691406,118.55999755859376,118.68000030517578,117.70999908447266,118.12999725341795,13859200.0,0.0014359166299664494,118.34099922180175,111.15479965209961,0.11757093751593914,True
2016-06-10,115.81101989746094,116.62000274658205,118.11000061035156,116.26000213623048,117.54000091552734,18510800.0,-0.01636297952058363,118.15799942016602,111.36839965820313,0.12754661618501717,True
2016-06-13,113.15953826904295,113.9499969482422,115.4800033569336,113.30999755859376,115.0,31718200.0,-0.022894921415340996,117.86499938964843,111.56439964294434,0.14838005557625197,True
2016-06-14,114.14268493652344,114.94000244140624,114.9499969482422,113.58000183105467,114.06999969482422,17618500.0,0.008688069501342044,117.67849960327149,111.7721996307373,0.15095139544762284,True
2016-06-15,113.80503845214844,114.5999984741211,115.44000244140624,114.06999969482422,115.3000030517578,19819400.0,-0.0029580995307396662,117.54099960327149,111.93879959106445,0.14681074349526949,True
2016-06-16,113.59649658203124,114.38999938964844,114.5,112.94000244140624,113.87000274658205,19236300.0,-0.001832452768488313,117.37799949645996,112.11259956359864,0.14616862856242324,True
2016-06-17,112.23599243164062,113.0199966430664,114.43000030517578,112.55999755859376,114.41999816894533,24644300.0,-0.01197659545320362,117.1884994506836,112.26939956665039,0.1496700736885893,True
2016-06-20,112.58356475830078,113.37000274658205,114.72000122070312,112.75,113.7699966430664,20785400.0,0.0030968511229123585,116.98949966430663,112.45859962463379,0.1489239671728627,True
2016-06-21,113.58656311035156,114.37999725341795,115.20999908447266,113.97000122070312,114.12000274658205,19166300.0,0.00890883375114293,116.90999946594238,112.51129959106446,0.14844389451010823,True
2016-06-22,113.11983489990234,113.91000366210938,114.73999786376952,113.61000061035156,114.6500015258789,14846300.0,-0.004109054053107464,116.72049980163574,112.52829963684081,0.136896766539553,True
2016-06-23,114.28170013427734,115.08000183105467,115.08999633789062,113.54000091552734,114.37000274658205,16176900.0,0.010271250384785047,116.57999992370605,112.52819969177246,0.14290922686524418,True
2016-06-24,111.30252075195312,112.08000183105467,113.68000030517578,111.0,111.01000213623048,40643100.0,-0.02606882127447485,116.21049995422364,112.5028997039795,0.15747777071148777,True
2016-06-27,108.21408081054688,108.97000122070312,111.56999969482422,108.2300033569336,111.56999969482422,36130400.0,-0.02774804210870241,115.69000015258788,112.46569969177246,0.17964345012457422,True
2016-06-28,111.91822052001952,112.6999969482422,112.75,110.5500030517578,110.62999725341795,26813800.0,0.034229564887170216,115.3845001220703,112.4877996826172,0.22615504262041386,True
2016-06-29,113.36809539794922,114.16000366210938,114.25,113.04000091552734,113.37000274658205,20968300.0,0.012954807039947669,115.15350036621093,112.58869972229004,0.23269147879554092,True
2016-06-30,113.48725128173828,114.27999877929688,115.18000030517578,113.66999816894533,114.66999816894533,23192700.0,0.0010511134665225352,114.92100028991699,112.73399971008301,0.23265476490084894,True
2016-07-01,113.39788818359376,114.19000244140624,115.12999725341795,113.80999755859376,114.1999969482422,14980000.0,-0.0007875073403216248,114.70700035095214,112.88049972534179,0.23256438986340303,True
2016-07-05,113.40782165527344,114.1999969482422,114.1999969482422,112.97000122070312,113.94000244140624,14207000.0,8.752523532962186e-05,114.4775001525879,113.01249969482421,0.232087567002611,True
2016-07-06,115.89046478271484,116.6999969482422,116.79000091552734,112.97000122070312,113.36000061035156,24337600.0,0.021891419148925673,114.42449989318848,113.16039962768555,0.24518895499536186,True
2016-07-07,115.04637145996094,115.8499984741211,116.97000122070312,115.36000061035156,116.62999725341795,16630200.0,-0.007283620362887322,114.29749984741211,113.29879959106445,0.24540234569057692,True
2016-07-08,116.42671966552734,117.23999786376952,117.5,115.8499984741211,116.43000030517578,18142600.0,0.011998268519260558,114.2314998626709,113.45509956359864,0.24960407333060783,True
2016-07-11,117.05235290527344,117.87000274658205,118.6999969482422,117.5,117.70999908447266,17711600.0,0.005373634376423242,114.2939998626709,113.58179962158204,0.243054847493515,True
2016-07-12,117.1119384765625,117.93000030517578,118.72000122070312,117.56999969482422,118.62999725341795,15217700.0,0.0005090146533950346,114.49300003051758,113.72639961242676,0.22663499026789086,True
2016-07-13,115.96991729736328,116.77999877929688,118.4000015258789,116.68000030517578,118.38999938964844,16207700.0,-0.00975156044181269,114.5849998474121,113.84849960327148,0.2286606970132497,True
2016-07-14,116.47639465332033,117.29000091552734,117.63999938964844,116.6999969482422,117.5,14579700.0,0.004367204500441257,114.71949996948243,113.94979957580567,0.22850283392175902,True
2016-07-15,116.04935455322266,116.86000061035156,118.27999877929688,116.58000183105467,117.73999786376952,16646000.0,-0.0036661292677920843,114.84300003051757,114.06379959106445,0.2289241922455588,True
2016-07-18,118.54193878173828,119.37000274658205,119.61000061035156,116.88999938964844,117.31999969482422,20868400.0,0.021478710620579378,115.16050033569336,114.1886996459961,0.2341886782603875,True
2016-07-19,119.77335357666016,120.61000061035156,120.8499984741211,118.66000366210938,118.98999786376952,21541300.0,0.010387851514102708,115.52250022888184,114.31409965515137,0.2357197040266721,True
2016-07-20,121.07424926757812,121.91999816894533,122.1999969482422,120.55999755859376,121.25,20046500.0,0.010861433976987467,115.89950027465822,114.45409965515137,0.23644717018816874,True
2016-07-21,119.77335357666016,120.61000061035156,122.0999984741211,120.25,121.91999816894533,17801700.0,-0.010744730792880186,116.23450012207033,114.59099967956543,0.24034688765017478,True
2016-07-22,120.16063690185548,121.0,121.01000213623048,119.30999755859376,119.9000015258789,18422400.0,0.0032335576459234794,116.5305000305176,114.70279968261718,0.2388048837956556,True
2016-07-25,120.7862777709961,121.62999725341795,121.8499984741211,117.77999877929688,121.38999938964844,18487400.0,0.005206588871222717,117.00799980163575,114.81959968566895,0.21343080754601945,True
2016-07-26,120.37911987304688,121.22000122070312,122.06999969482422,120.75,122.0,17612000.0,-0.0033708463534747324,117.62049980163575,114.93599967956543,0.17997995205983763,True
2016-07-27,122.48440551757812,123.33999633789062,125.0,121.51000213623048,122.41999816894533,52654200.0,0.01748882276719055,118.15249977111816,115.08549964904785,0.15205984654157395,True
2016-07-28,124.13289642333984,125.0,128.3300018310547,123.62999725341795,127.5199966430664,78955800.0,0.013458762051214768,118.69449958801269,115.27819961547851,0.15243871601269846,True
2016-07-29,123.08025360107422,123.94000244140624,125.83999633789062,123.70999908447266,124.6500015258789,35058800.0,-0.008479980468750092,119.17749977111816,115.45829963684082,0.15898664706568494,True
2016-08-01,123.44766998291016,124.30999755859376,124.58000183105467,122.86000061035156,123.8499984741211,25006900.0,0.002985276019842331,119.68349952697754,115.62629959106445,0.1580053028908394,True
2016-08-02,122.23614501953124,123.08999633789062,124.8000030517578,122.06999969482422,124.05999755859376,23968400.0,-0.009814184254392622,120.12799949645996,115.78399955749512,0.16525092819723974,True
2016-08-03,121.66017150878906,122.51000213623048,123.91999816894533,122.30999755859376,123.08999633789062,18525300.0,-0.0047119523837503285,120.4184997558594,115.91499954223633,0.15317647063364165,True
2016-08-04,123.49732208251952,124.36000061035156,124.79000091552734,122.51000213623048,122.94000244140624,21066000.0,0.0151007953788449,120.84399986267093,116.05969955444336,0.15485865282417463,True
