Date,"('QQQ', 'AdjClose')","('QQQ', 'AdjClose').1","('QQQ', 'AdjClose').2","('QQQ', 'Close')","('QQQ', 'Close').1","('QQQ', 'Close').2","('QQQ', 'High')","('QQQ', 'High').1","('QQQ', 'High').2","('QQQ', 'Low')","('QQQ', 'Low').1","('QQQ', 'Low').2","('QQQ', 'Open')","('QQQ', 'Open').1","('QQQ', 'Open').2","('QQQ', 'Volume')","('QQQ', 'Volume').1","('QQQ', 'Volume').2",AdjClose,Close,High,Low,Open,Volume,Return,FastSMA,SlowSMA,Volatility,Valid
2016-05-25,,,,,,,,,,,,,,,,,,,101.90509033203124,109.23999786376952,109.56999969482422,108.68000030517578,108.87000274658205,37951700.0,0.007191580175926138,106.25150032043457,105.45260047912598,0.1477762562213435,True
2016-05-26,,,,,,,,,,,,,,,,,,,102.20362854003906,109.55999755859376,109.6999969482422,109.08999633789062,109.3499984741211,21885900.0,0.0029293271794395004,106.41550025939941,105.45320045471192,0.13979999237113466,True
2016-05-27,,,,,,,,,,,,,,,,,,,102.73535919189452,110.12999725341795,110.13999938964844,109.61000061035156,109.62999725341795,19870000.0,0.005202626027071222,106.63600006103516,105.46140045166015,0.1379471532265089,True
2016-05-31,,,,,,,,,,,,,,,,,,,102.9312515258789,110.33999633789062,110.51000213623048,109.77999877929688,110.27999877929688,24366100.0,0.0019068291084167743,106.81699981689454,105.48220039367676,0.13516682803310576,True
2016-06-01,,,,,,,,,,,,,,,,,,,102.94060516357422,110.3499984741211,110.5999984741211,109.91000366210938,110.0,19571500.0,9.064832846150672e-05,107.04799957275391,105.53700035095216,0.12902448733517805,True
2016-06-02,,,,,,,,,,,,,,,,,,,103.15512084960938,110.58000183105467,110.58999633789062,109.52999877929688,110.12999725341795,15696600.0,0.0020843077491072837,107.32449951171876,105.6027003479004,0.12497039045548505,True
2016-06-03,,,,,,,,,,,,,,,,,,,102.67005920410156,110.05999755859376,110.41999816894533,109.33999633789062,110.37000274658205,20269900.0,-0.004702516403059742,107.57649955749511,105.66000030517579,0.12728408616418507,True
2016-06-06,,,,,,,,,,,,,,,,,,,103.04319763183594,110.45999908447266,110.75,110.06999969482422,110.26000213623048,12502400.0,0.003634395191276729,107.82049942016602,105.70920028686524,0.12690330766933933,True
2016-06-07,,,,,,,,,,,,,,,,,,,102.78199768066406,110.18000030517578,110.62999725341795,110.12999725341795,110.5199966430664,12184300.0,-0.0025348432158029954,108.0354995727539,105.7920002746582,0.12802457311888613,True
2016-06-08,,,,,,,,,,,,,,,,,,,102.9592742919922,110.37000274658205,110.5999984741211,109.95999908447266,110.37000274658205,14568700.0,0.0017244730520964424,108.18749961853027,105.85500030517578,0.12037302857404705,True
2016-06-09,,,,,,,,,,,,,,,,,,,102.79133605957033,110.19000244140624,110.30999755859376,109.70999908447266,109.91999816894533,17571600.0,-0.0016308806804065101,108.37899971008301,105.94850036621094,0.1145659204927574,True
2016-06-10,,,,,,,,,,,,,,,,,,,101.625244140625,108.94000244140624,109.4000015258789,108.55999755859376,109.19000244140624,32965000.0,-0.01134404185774196,108.5314998626709,106.02730041503906,0.12194709510732486,True
2016-06-13,,,,,,,,,,,,,,,,,,,100.77637481689452,108.02999877929688,108.93000030517578,107.88999938964844,108.31999969482422,25154700.0,-0.008353255385677216,108.65799980163574,106.10010040283203,0.12562506056109282,True
2016-06-14,,,,,,,,,,,,,,,,,,,100.77637481689452,108.02999877929688,108.41999816894533,107.23999786376952,107.73999786376952,24588500.0,0.0,108.71849975585937,106.17190040588379,0.1183422138773432,True
